249.40776824951172 173.079514503479 326.0988998413086 216.24840259552002,0.99353594,2,1
513.5529327392578 182.3526406288147 582.1610260009766 212.92615413665771,0.99147856,2,2
580.3789520263672 181.09691619873047 640.5278778076172 220.06741762161255,0.9885173,2,3
88.08436393737793 167.8764796257019 138.73300552368164 206.6824221611023,0.9318886,2,4
396.9307327270508 176.30178093910217 436.4329528808594 197.98609972000122,0.9281404,2,5
368.33152770996094 175.47820329666138 398.2527160644531 194.6920680999756,0.9155283,2,6
129.8600959777832 172.99881219863892 147.7139949798584 191.1330771446228,0.9023095,2,7
157.84488677978516 173.34499955177307 182.14038848876953 190.41540384292603,0.82399184,2,9
146.6370391845703 174.55989003181458 159.59095001220703 189.05715465545654,0.4975554,2,11
315.7408332824707 175.98116040229797 335.12672424316406 187.2814679145813,0.49675673,2,12
