514.2742919921875 183.00765752792358 581.8301391601562 212.67329692840576,0.9841844,2,1
160.36706924438477 174.09443020820618 183.23549270629883 191.78000450134277,0.98230946,2,2
198.2086944580078 168.05299043655396 244.4927215576172 203.51606369018555,0.97983915,2,3
391.7378234863281 176.22480154037476 432.89844512939453 197.25735425949097,0.9680023,2,4
580.484619140625 180.34568309783936 640.5125427246094 215.52678108215332,0.96512234,2,5
147.75598526000977 175.2113664150238 161.95653915405273 189.44008827209473,0.90370405,2,6
129.54264640808105 172.51328945159912 148.62796783447266 191.81536674499512,0.88852954,2,7
89.01841163635254 168.13730835914612 139.7702980041504 206.05068683624268,0.87087876,2,8
363.39405059814453 174.76951003074646 395.4624557495117 194.00389909744263,0.81547946,2,9
598.1033706665039 186.31911277770996 640.0965118408203 286.84077501296997,0.5829787,2,11
