219.79230880737305 172.86046385765076 276.4872360229492 208.4521222114563,0.9953328,2,1
580.2661895751953 181.47656679153442 640.5342102050781 219.76924180984497,0.987485,2,2
515.663948059082 182.75404930114746 582.2879028320312 212.7544927597046,0.9852284,2,3
444.9990463256836 179.91583228111267 519.4571304321289 213.52306365966797,0.9450692,2,4
391.59149169921875 175.68211555480957 436.1231994628906 197.47276782989502,0.912792,2,5
148.3507537841797 174.3696677684784 168.11782836914062 189.48392629623413,0.9038006,2,6
87.19241142272949 167.71034359931946 141.7939853668213 206.22118949890137,0.733276,2,7
364.09202575683594 174.76340532302856 395.36705017089844 194.27958726882935,0.7125025,2,8
180.2628517150879 175.98944306373596 193.44606399536133 185.44872522354126,0.667849,2,9
132.98250198364258 173.36711168289185 148.5759449005127 192.1515440940857,0.4194586,2,10
315.4021453857422 175.69877743721008 336.25343322753906 186.3645601272583,0.4140842,2,11
484.5960998535156 174.92765307426453 530.1308441162109 193.17711353302002,0.4085738,2,12
