577.0266723632812 180.1045846939087 640.3561401367188 226.36548042297363,0.99230057,2,1
203.0126953125 173.5841989517212 248.29498291015625 202.29885578155518,0.99151254,2,2
512.3377990722656 182.57601499557495 580.2861404418945 212.72788524627686,0.99069184,2,3
86.8574333190918 168.02732706069946 138.70330810546875 205.8905053138733,0.91257226,2,4
392.23941802978516 175.707768201828 437.6460266113281 197.85617351531982,0.90830266,2,5
146.72954559326172 174.65845584869385 162.65121459960938 189.26859855651855,0.8498976,2,7
128.3890438079834 168.73183608055115 149.4809913635254 196.32452487945557,0.7529354,2,9
364.28245544433594 174.63354349136353 395.09124755859375 194.38451528549194,0.6482061,2,10
184.61423873901367 175.34972548484802 199.88210678100586 186.12266778945923,0.6272446,2,11
316.136474609375 175.13036370277405 336.3873291015625 186.47356510162354,0.47580293,2,12
