241.29688262939453 172.41902589797974 308.050594329834 214.23964262008667,0.9911565,2,1
512.7730941772461 182.43366479873657 582.8426361083984 212.8243589401245,0.9887021,2,2
580.2890396118164 181.0814881324768 640.4647827148438 220.04971504211426,0.9847483,2,3
154.13905143737793 173.2750904560089 175.9507942199707 190.07753133773804,0.9302327,2,4
87.47051239013672 168.03133964538574 138.80300521850586 206.54648780822754,0.9294321,2,5
129.75529670715332 172.94336557388306 147.48897552490234 191.32962942123413,0.9018713,2,6
376.5130615234375 176.73102021217346 417.95867919921875 196.17550134658813,0.8392594,2,7
174.53136444091797 175.58499813079834 186.21572494506836 189.2903995513916,0.6907269,2,9
363.4320068359375 174.7070038318634 393.43822479248047 192.88116931915283,0.6321983,2,11
389.06726837158203 175.27445197105408 435.61336517333984 197.9380989074707,0.42372382,2,12
